772 1
39 2
9098 0
10500 7
6641 6
6339 3
8972 0
4738 3
4675 3
5093 6
296 1
376 3
9737 5
7230 4
9039 0
10047 7
8487 1
9653 1
9590 5
1839 3
391 4
10352 7
5963 3
530 3
2995 3
5643 1
8720 5
3537 0
7517 4
9379 0
10624 3
2686 4
8339 3
4713 3
2342 4
10514 7
9299 0
3395 1
859 1
7164 4
11080 3
8564 1
716 3
4660 3
8764 0
5464 1
1856 6
9440 5
7168 0
8631 1
7080 4
3207 7
384 4
5241 4
8722 1
5218 1
5626 1
1144 1
9705 5
4746 4
9632 5
2123 4
10605 5
8777 0
10782 1
5437 0
8454 0
4733 4
10654 6
10370 7
1504 7
6548 6
3332 3
4389 3
4932 2
8529 1
7716 0
6304 3
2705 4
4718 3
4827 3
5738 1
2323 4
6543 6
9739 5
9238 0
6788 6
8744 1
10949 5
5865 3
7837 3
852 7
2517 3
2987 0
6655 6
5243 2
5457 6
6002 3
5745 1
9505 5
6358 3
7243 4
1529 1
6599 6
3244 1
2909 3
8562 1
1695 7
79 1
10564 7
6205 5
3441 0
10880 4
7384 4
4172 7
9121 0
5270 2
7638 5
4608 5
1533 7
7387 4
10513 7
1248 1
9931 1
8007 3
8499 1
11025 9
466 1
1605 7
7441 4
1596 7
3275 1
5154 1
11187 9
10492 7
5417 4
8 4
9065 0
2677 4
7355 3
9324 0
10923 7
3935 3
748 1
3220 0
6617 6
7367 4
9368 0
295 2
8542 0
9108 0
3578 0
2476 4
8273 0
4253 2
541 1
4806 9
2419 4
9851 5
1646 7
8511 1
7379 0
7584 8
5132 1
7448 4
6016 3
2058 6
4739 3
8565 1
8851 0
9796 9
1424 7
809 0
7077 4
3483 0
9611 5
4164 3
6303 1
159 2
4217 3
1297 1
11149 3
2448 4
9547 5
11205 3
5764 3
9594 5
7870 3
2794 7
705 3
1727 7
7519 4
4098 3
4109 3
5668 1
442 3
4903 2
7112 4
6775 3
9621 5
4360 3
6707 6
756 1
3985 3
8114 5
4581 3
3875 3
10108 7
8847 0
4242 3
10772 3
5987 3
6062 1
2671 4
3420 0
9321 0
5295 3
6439 4
9715 5
8260 0
5465 0
692 3
54 2
2502 4
3895 3
638 4
10437 7
7156 4
2726 4
4888 2
7121 4
6515 6
10274 7
2756 8
804 1
3270 1
9325 0
8664 0
6275 3
397 3
6542 3
3295 0
5809 5
4028 3
5141 2
9361 1
4473 6
1309 0
1777 7
7886 3
6657 6
11250 9
3671 3
10203 7
3183 1
4273 3
9 4
8918 0
814 1
918 1
7780 3
8343 3
3243 1
10080 7
9528 5
1481 7
8800 0
4631 3
3965 3
2077 4
709 3
7171 1
219 2
2434 4
2696 4
9211 0
2605 4
3764 1
11074 3
1064 5
5212 1
6621 6
8853 0
6101 3
8352 3
7578 8
2322 4
532 3
3903 9
9164 5
9490 5
4505 6
5516 1
2644 4
4486 7
5042 2
6685 3
1131 7
10131 7
2385 4
7668 8
862 1
9869 0
8787 0
2449 4
10779 0
10814 0
6380 3
1123 3
1521 5
10169 7
1553 7
4691 4
10417 7
3508 0
10681 6
3265 4
5034 1
10747 0
4768 3
858 3
6545 3
1609 7
8125 3
5436 0
8183 3
2960 1
8187 5
6405 1
3352 1
10493 7
650 3
4854 5
10616 7
7872 3
3781 6
524 3
357 3
6785 0
746 1
4584 7
5754 4
5707 6
7835 7
2938 0
6553 6
8312 3
5309 1
8038 3
5593 1
5825 1
941 1
1114 1
7582 7
4901 2
8277 3
8036 3
5918 3
8308 3
528 5
1088 5
7479 4
3947 3
1737 7
1296 1
5327 1
1161 1
6260 3
6613 4
5549 2
298 2
2209 4
8108 3
5252 1
486 3
5817 3
10941 3
10773 0
9213 0
10562 7
265 2
9412 5
6986 4
461 3
11131 3
3883 3
10954 5
10064 7
11267 1
9008 0
2679 4
7297 7
4031 3
7672 5
4445 6
7881 3
602 3
4007 1
7408 4
9876 1
5381 1
6065 5
8357 6
631 3
7524 4
4065 3
7923 3
6881 4
2042 1
10030 7
10112 7
3481 0
11083 3
1958 3
3362 1
1219 1
1132 7
10048 7
10453 7
8477 1
9493 5
4163 3
10286 7
7938 3
2840 7
1190 1
1492 7
9536 5
11203 3
8340 3
860 1
3448 0
6143 4
10871 4
5701 1
1454 7
2804 7
5892 1
8336 3
7150 4
4666 3
2488 4
1487 7
6811 6
3097 5
9799 5
7072 4
7345 4
5652 0
2169 4
10146 7
7381 4
10731 0
10354 7
5466 0
7532 1
1930 3
4090 3
4791 9
464 3
7836 0
2288 4
9517 5
7512 1
4566 4
1726 7
5116 1
4241 3
2001 6
151 1
2007 1
1515 7
4732 3
2347 4
6482 6
5520 1
6343 3
9006 0
9180 0
2093 4
6270 1
11245 9
8033 3
10151 7
2108 4
10340 7
2219 4
8243 3
4485 7
5558 5
5913 6
9760 7
9342 9
8954 0
2501 4
7723 7
2142 4
5810 3
10366 7
1338 3
9172 0
3491 0
5599 1
9200 0
6577 6
6532 6
2480 4
1137 1
2478 3
7239 4
8051 3
4924 1
7677 5
1771 7
4568 3
4605 3
4940 2
9807 5
9782 9
304 2
9160 0
8520 1
2456 4
3005 3
4634 3
3770 3
8374 3
6077 3
10823 0
9491 5
4919 0
9326 0
1956 6
373 3
5979 5
930 1
3607 3
5197 1
5164 2
8048 3
928 1
1287 0
8040 3
6739 3
2953 3
8417 6
11226 9
606 1
6828 3
8535 1
4545 3
6416 3
8319 3
6251 3
4398 3
8112 0
9232 0
4405 1
1591 0
3905 3
10874 4
5514 1
6231 3
4359 3
3161 2
8807 0
3223 1
7291 4
1125 1
3817 3
10455 7
9956 7
1328 1
6794 3
4716 3
4548 3
8313 1
7616 8
8725 7
11170 3
268 1
1612 7
3078 5
2245 4
7018 4
2668 4
1310 2
6807 6
6866 0
5062 2
10360 7
10414 7
344 3
542 3
134 2
3181 0
4811 9
3863 3
6503 6
10583 7
10119 7
7810 3
9391 0
5373 1
3434 0
10850 4
9494 5
4051 3
9861 3
10130 7
3912 3
4729 3
7602 8
2427 4
2629 4
11231 9
4331 3
4054 1
10709 0
5195 2
9492 5
1756 7
2727 4
10395 7
2709 4
7246 4
6944 4
8784 0
258 1
9143 0
4594 3
10330 7
1573 7
85 2
1885 6
6409 4
6718 3
6293 1
9353 0
561 3
785 1
8279 9
9967 7
11095 6
144 1
4692 3
2754 5
3088 5
9770 5
5576 1
3845 1
7754 3
5211 3
10885 4
1632 5
764 1
9716 5
10866 4
3125 5
1511 7
7808 3
11197 3
92 2
9308 7
2988 1
6156 3
1899 1
654 5
4064 3
4158 7
711 1
2574 4
1798 7
8314 3
2906 1
422 3
4580 3
2761 3
3980 3
7320 3
8346 3
10198 7
9791 9
7729 7
2882 7
7563 3
7123 4
9785 5
2229 3
11189 3
8568 1
4155 3
10171 7
1954 6
4913 2
5047 1
7931 3
10802 1
5676 3
2399 4
5223 1
3884 3
10193 7
10325 7
1588 7
10006 7
7575 8
8773 0
7360 4
4533 3
3348 1
